comp_ref,Compound,smiles,HOMO,HOMO_1,HOMO_2,HOMO_3,LUMO,Dipole,Polar,Egap,IP,EA,Electronegativity,Chemical hardness,Electrophilicity,deltaN,cLogP,cLogS,Total Surface Area,Polar Surface Area,Relative PSA,ConcInh_M,TempK,Time_H,Med_ConcM,Med_ID,Method,IE
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0003,313,30,1,HCl,WL,91.5
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0003,323,30,1,HCl,WL,90.2
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0003,333,30,1,HCl,WL,86
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0004,303,30,1,HCl,WL,95.5
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0004,313,30,1,HCl,WL,93.1
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0004,323,30,1,HCl,WL,91.2
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0004,333,30,1,HCl,WL,88.9
comp_4,"3-(2-(4-(2-methoxyphenyl)piperazin-1-yl)ethyl)-2-
phenylquinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5OC)CC4,-5.363908457,-6.18841346,-6.526923105,-6.601754417,-1.958947696,2.5289,523.92,3.404960761,5.236915638,2.131204206,3.684059922,1.552855716,2.185054505,0.525444875,3.6638,-3.698,342.22,48.38,0.13208,0.0001,298,30,1,HCl,PDP,90.3
comp_4,"3-(2-(4-(2-methoxyphenyl)piperazin-1-yl)ethyl)-2-
phenylquinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5OC)CC4,-5.363908457,-6.18841346,-6.526923105,-6.601754417,-1.958947696,2.5289,523.92,3.404960761,5.236915638,2.131204206,3.684059922,1.552855716,2.185054505,0.525444875,3.6638,-3.698,342.22,48.38,0.13208,0.0002,298,30,1,HCl,PDP,92.2
comp_4,"3-(2-(4-(2-methoxyphenyl)piperazin-1-yl)ethyl)-2-
phenylquinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5OC)CC4,-5.363908457,-6.18841346,-6.526923105,-6.601754417,-1.958947696,2.5289,523.92,3.404960761,5.236915638,2.131204206,3.684059922,1.552855716,2.185054505,0.525444875,3.6638,-3.698,342.22,48.38,0.13208,0.0003,298,30,1,HCl,PDP,94.1
